,predicted_eta_seconds
638,2924.3838
639,2376.5195
640,2830.5627
641,2382.7234
642,3134.3215
643,2014.7938
644,3525.627
645,3252.0818
646,3008.9907
647,2330.5933
648,3286.1375
649,3183.5803
650,3755.453
651,3138.6484
652,2945.085
653,3299.229
654,3151.488
655,2680.6604
656,5328.4424
657,2756.825
658,2659.761
659,4101.206
660,3999.0618
661,2656.0305
662,2591.6426
663,3229.857
664,3352.8013
665,2494.703
666,2073.3162
667,2147.35
668,3840.2996
669,3337.4678
670,4051.8606
671,3273.9712
672,2729.1357
673,2872.3462
674,3368.9016
675,2950.276
676,2881.8687
677,3871.3694
678,4796.1025
679,2969.956
680,2720.0208
681,3110.8748
682,3179.586
683,3424.6824
684,2523.5762
685,3452.2593
686,2960.9875
687,3964.7444
688,2237.349
689,2516.7893
690,2672.0352
691,2389.453
692,2583.0159
693,2542.063
694,3784.6492
695,3042.8167
696,4346.556
697,4218.4663
698,2464.886
699,3347.7024
700,3197.3584
701,2455.1555
702,3384.3906
703,2710.1575
704,3453.413
705,3061.1619
706,2524.8694
707,2734.1472
708,2604.5881
709,3580.433
710,2354.1306
711,2548.9688
712,3599.2966
713,2350.8787
714,2946.2107
715,2923.361
716,3611.7554
717,3260.8152
718,3910.0896
719,3496.5615
720,2857.6477
721,3068.2751
722,3380.3408
723,3636.0332
724,3570.1462
725,2915.3848
726,3886.3274
727,2856.5486
728,3843.985
729,3235.75
730,2913.8457
731,3164.111
732,2647.8267
733,2615.242
734,3819.5823
735,3012.866
736,4204.6797
737,2738.064
738,2443.0068
739,2937.4348
740,2686.635
741,2509.0107
742,3680.7207
743,3356.9165
744,3006.6655
745,4024.1567
746,3377.0847
747,2735.5415
748,3378.9617
749,3326.6685
750,3028.9314
751,2976.5847
752,2583.9788
753,2906.7014
754,4454.673
755,3296.9866
756,3546.902
757,3070.2034
758,2896.9614
759,3376.9863
760,3127.1084
761,2768.5159
762,3594.1328
763,3747.994
764,2738.792
765,3952.4387
766,5410.479
767,4631.8574
768,2656.5466
769,3726.632
770,3717.102
771,3346.7446
772,3452.6875
773,2325.0315
774,3338.4065
775,3134.099
776,4337.4644
777,4793.8394
778,5217.246
779,3460.1528
780,3315.846
781,3269.4412
782,2817.0415
783,3089.2715
784,3569.3428
785,3100.7036
786,3177.9265
787,3206.0605
788,3759.91
789,3764.3835
790,2774.7664
791,2466.3013
792,2580.5996
793,3328.9792
794,3101.452
795,3829.006
796,2796.3564
797,2704.0134
798,2942.2507
799,2272.7637
800,2832.226
801,3135.5596
802,2916.0195
803,2704.62
804,2645.5889
805,3319.9028
806,3973.084
807,2993.5073
808,3284.2998
809,4018.5176
810,3234.3877
811,3652.998
812,3242.9202
813,3008.5786
814,4459.113
815,3096.2646
816,3028.1792
817,3413.1072
818,4112.7993
819,2748.7896
820,4084.2031
821,3355.2642
822,3317.8777
823,3435.233
824,2336.0574
825,3254.5457
826,3242.7395
827,3152.5576
828,2779.3442
829,3601.4624
830,3942.5117
831,2872.025
832,4010.5518
833,2726.9019
834,3594.553
835,3022.4062
836,3191.3508
837,3186.1672
838,2976.4531
839,3096.1594
840,2830.2651
841,3547.2954
842,3400.4053
843,4225.9434
844,2530.3533
845,4053.769
846,3037.0393
847,3301.4595
848,3028.2983
849,2887.2659
850,3500.2124
851,3230.425
852,3253.961
853,2889.1343
854,2650.639
855,3073.7717
856,2645.7256
857,3199.3438
858,2963.9265
859,3178.0063
860,2714.281
861,3480.6914
862,2815.9043
863,3342.4312
864,2259.187
865,3792.51
866,2933.7344
867,2901.7341
868,3016.1702
869,3118.8447
870,3122.6758
871,2551.1426
872,2077.4788
873,2475.999
874,3042.7512
875,3351.6118
876,2639.9055
877,2945.5586
878,2792.1143
879,2464.1409
880,2733.4268
881,3444.4187
882,3742.3555
883,3914.317
884,2638.2961
885,2416.9175
886,2618.9011
887,3175.1946
888,3782.465
889,3755.7297
890,2651.3604
891,3361.681
892,3252.7368
893,2524.7644
894,3672.8682
895,3776.187
896,2892.2463
897,3665.7783
898,2904.365
899,4895.1777
900,3323.417
901,2952.4495
902,3254.8599
903,3712.6245
904,3870.6033
905,3276.5767
906,2538.262
907,3355.7185
908,2678.093
909,3051.0818
910,3085.5999
911,2671.825
912,3317.827
913,2608.3293
914,3285.1982
915,3625.622
916,3276.9292
917,3436.5718
918,2968.8618
919,3584.745
920,2708.872
921,2838.9841
922,3552.9644
923,2990.0225
924,2952.8694
925,3482.157
926,3870.838
927,3157.3489
928,3333.2336
929,3678.6145
930,4179.0044
931,2413.0852
932,2703.1667
933,2014.597
934,4031.7756
935,2848.2307
936,2873.0566
937,2828.6685
938,3819.0557
939,3575.983
940,2453.1345
941,4183.026
942,2069.845
943,3688.0571
944,3342.943
945,2928.5037
946,2969.9185
947,4238.409
948,2191.673
949,2457.9812
950,3107.6382
951,3320.0515
952,2795.712
953,3230.7322
954,3858.652
955,2891.5115
956,3076.149
957,3039.2505
958,2816.1824
959,3107.2773
960,3537.9624
961,2948.2825
962,2770.3064
963,2921.9287
964,2407.4888
965,3535.6548
966,3175.068
967,2786.3367
968,3268.5
969,3435.0852
970,3251.3596
971,2878.288
972,4317.471
973,2852.1978
974,2447.4233
975,3492.9822
976,3836.736
977,4108.1997
978,2852.9907
979,2800.2114
980,3459.9678
981,3934.948
982,3514.2366
983,2890.594
984,3099.3733
985,4916.171
986,3732.5803
987,2895.4822
988,3504.8403
989,3018.5986
990,3488.8108
991,4565.525
992,2396.8943
993,3252.9983
994,3390.9512
995,2925.0522
996,4204.5415
997,3084.7622
998,3204.471
999,2282.5059
1000,3518.0684
1001,3133.1687
1002,4807.5005
1003,3822.8633
1004,3443.6787
1005,3472.8923
1006,3149.3896
1007,2459.334
1008,4079.2285
1009,1957.5159
1010,3713.6394
1011,3398.9346
1012,3487.7305
1013,3111.3918
1014,3652.064
1015,3940.4768
1016,3319.1863
1017,3073.7466
1018,3590.0522
1019,3215.509
1020,3346.4482
1021,2525.5566
1022,2426.7295
1023,3031.706
1024,2369.6458
1025,4539.9805
1026,2529.8433
1027,2003.2075
1028,3911.6948
1029,3390.9192
1030,4412.1353
1031,3546.1052
1032,3923.032
1033,3250.7607
1034,4315.369
1035,2544.0903
1036,3240.8298
1037,3651.4492
1038,3804.6848
1039,2405.7253
1040,3728.372
1041,3008.0867
1042,3037.9294
1043,2445.334
1044,4602.491
1045,4112.352
1046,3219.8262
1047,4335.213
1048,2045.8698
1049,2508.757
1050,2629.889
1051,3278.545
1052,2829.7217
1053,3202.9329
1054,4304.8096
1055,3186.4026
1056,4045.3962
1057,3822.861
1058,3364.54
1059,3290.3188
1060,3015.5835
1061,3212.871
1062,3180.001
1063,3464.9038
1064,3108.2454
1065,3070.2275
1066,3436.3647
1067,2782.8926
1068,3685.2827
1069,3177.2498
1070,3075.4973
1071,2887.4902
1072,3044.6743
1073,2546.9656
1074,3998.0403
1075,2729.6309
1076,4401.14
1077,4794.468
1078,2867.3398
1079,3785.5537
1080,3081.2297
1081,3401.103
1082,2750.8281
1083,2328.694
1084,2644.7117
1085,3527.504
1086,2527.4075
1087,2727.3718
1088,3461.1604
1089,3882.3606
1090,3780.1936
1091,3849.1523
1092,2852.9692
1093,3298.1536
1094,3526.39
1095,3129.3567
1096,2575.0654
1097,2760.7751
1098,3556.3188
1099,2773.9185
1100,2522.9373
1101,3984.3445
1102,4021.6055
1103,3579.7554
1104,4029.5693
1105,2472.5608
1106,3278.75
1107,3014.223
1108,4319.873
1109,2507.8887
1110,3143.3335
1111,3308.043
1112,2942.775
1113,4323.395
1114,3037.6082
1115,2925.4438
1116,4392.868
1117,3786.4324
1118,3933.2144
1119,3787.1382
1120,3955.2146
1121,3073.7717
1122,3475.6377
1123,3893.5237
1124,3091.5315
1125,3699.207
1126,2359.82
1127,3369.926
1128,2708.3442
1129,3338.0154
1130,2896.0984
1131,3306.8262
1132,3286.4954
1133,2904.088
1134,2510.2488
1135,3162.163
1136,2877.499
1137,3148.086
1138,3072.3474
1139,3162.3442
1140,3099.4744
1141,2674.639
1142,2954.2197
1143,3151.978
1144,2807.6792
1145,3245.423
1146,3366.5623
1147,2781.6375
1148,2104.9531
1149,2856.7795
1150,4601.722
1151,3037.9292
1152,3729.2783
1153,2945.895
1154,2825.1548
1155,3910.8435
1156,4546.136
1157,2972.6694
1158,3975.0298
1159,4259.9414
1160,4493.77
1161,2849.813
1162,4218.3057
1163,3058.9136
1164,3302.2554
1165,2982.3384
1166,3674.2893
1167,3029.871
1168,2624.2573
1169,3444.725
1170,3484.4219
1171,2485.2097
1172,3357.6099
1173,3590.6638
1174,3067.0857
1175,3191.3062
1176,3299.1746
1177,2409.2134
1178,2426.983
1179,2369.0596
1180,2782.47
1181,3272.5103
1182,3497.7996
1183,3471.622
1184,2916.7842
1185,2571.93
1186,3307.7305
1187,2747.013
1188,3851.2642
1189,4504.077
1190,4383.8506
1191,4353.9097
1192,3146.0027
1193,3189.495
1194,3264.5115
1195,2576.8765
1196,4504.9556
1197,3414.6865
1198,3037.088
1199,5459.758
1200,2191.4685
1201,4890.8506
1202,2647.9893
1203,3359.4692
1204,3715.074
1205,3210.1467
1206,3106.3586
1207,3378.0159
1208,4342.062
1209,4073.5913
1210,2824.9568
1211,3059.1646
1212,3743.124
1213,3371.8772
1214,3154.8997
1215,2828.9258
1216,2622.2126
1217,3483.0073
1218,2941.0183
1219,3631.9197
1220,4053.605
1221,3932.441
1222,2795.5408
1223,2731.639
1224,2268.0867
1225,3237.8682
1226,2866.05
1227,3043.326
1228,2712.6912
1229,2505.175
1230,3229.1743
1231,3688.931
1232,4178.376
1233,3147.244
1234,3463.4214
1235,3945.9807
1236,3719.4194
1237,4048.221
1238,3262.13
1239,2326.948
1240,2785.987
1241,2952.8477
1242,5457.2676
1243,3089.4949
1244,2197.8826
1245,3377.831
1246,3263.0784
1247,5074.8867
1248,5423.6523
1249,3475.2788
1250,5087.9165
1251,3446.6035
1252,3301.2407
1253,3014.7837
1254,4473.5786
1255,3186.178
1256,3698.902
1257,2200.1013
1258,3789.8135
1259,3296.4558
1260,3384.3838
1261,2920.6243
1262,5366.667
1263,3124.6626
1264,5248.7114
1265,2816.4246
1266,3707.5488
1267,3372.989
1268,4140.839
1269,4600.4663
1270,3126.719
1271,2651.9102
1272,3955.6199
1273,3642.3198
1274,2941.2903
1275,3401.9075
1276,3090.7239
1277,3042.0923
1278,3466.0771
1279,4703.1934
1280,4214.2383
1281,3744.5542
1282,2701.3735
1283,4369.537
1284,3029.6157
1285,2626.3687
1286,3221.0227
1287,2598.559
1288,2610.2053
1289,3429.2588
1290,3585.9912
1291,4987.399
1292,4210.3906
1293,2957.8916
1294,3610.7327
1295,3334.7742
1296,4985.551
1297,2824.9126
1298,2823.2126
1299,3854.1174
1300,3409.713
1301,4949.6685
1302,3159.8462
1303,3078.9392
1304,3474.2205
1305,2520.3142
1306,3960.109
1307,4700.5645
1308,3361.7715
1309,4265.1562
1310,3294.2117
1311,4178.724
1312,3281.147
1313,3969.1238
1314,2628.6277
1315,2452.6145
1316,2991.0774
1317,4015.229
1318,2503.8655
1319,2740.0432
1320,3339.7366
1321,3213.4958
1322,3401.9128
1323,3040.3496
1324,3289.0923
1325,3800.1174
1326,2476.3867
1327,4222.6504
1328,2864.941
1329,2805.87
1330,2948.238
1331,3661.0251
1332,3568.614
1333,3096.7766
1334,2651.1094
1335,3397.9143
1336,3108.3718
1337,4513.009
1338,4534.0435
1339,3821.8252
1340,4415.7
1341,3439.9663
1342,4457.5806
1343,2814.3716
1344,3654.5193
1345,3354.8481
1346,4311.737
1347,2565.481
1348,4262.293
1349,2722.4878
1350,5216.9033
1351,4823.7886
1352,3613.4885
1353,2906.5154
1354,4070.9785
1355,4353.9824
1356,5344.947
1357,3401.2913
1358,2814.1333
1359,4375.4756
1360,3391.1436
1361,2545.0815
1362,3313.122
1363,3007.5298
1364,2304.4805
1365,3161.332
1366,3024.8533
1367,3611.9573
1368,4691.1255
1369,4413.126
1370,3197.3906
1371,4454.7637
1372,2909.186
1373,2884.7305
1374,4676.828
1375,3391.9
1376,5064.393
1377,2662.7493
1378,3541.6187
1379,2905.5095
1380,2576.4275
1381,2754.6208
1382,3253.9846
1383,3197.6
1384,5511.1055
1385,3619.3918
1386,3063.332
1387,2812.566
1388,3623.1602
1389,2734.291
1390,3387.1113
1391,4434.3887
1392,4064.436
1393,4121.076
1394,4511.321
1395,3755.8047
1396,3056.057
1397,2491.01
1398,3271.0615
1399,3693.4001
1400,2962.6475
1401,2978.7283
1402,2605.9473
1403,2774.3594
1404,3521.1924
1405,3318.452
1406,3604.7173
1407,3241.3057
1408,4301.2686
1409,5063.36
1410,4004.134
1411,3589.2136
1412,4155.6143
1413,2741.0044
1414,2834.2532
1415,4962.4053
1416,4482.9907
1417,5616.9697
1418,2859.3408
1419,2990.9836
1420,2365.5688
1421,2800.9844
1422,3148.1792
1423,3569.5024
1424,3226.0056
1425,3239.2158
1426,3669.6016
1427,3758.6497
1428,3844.2297
1429,2498.2056
1430,3290.1257
1431,3150.4497
1432,5474.0337
1433,2911.8945
1434,2423.3638
1435,3573.1365
1436,3652.2908
1437,4810.3413
1438,3573.0967
1439,4538.901
1440,2848.5225
1441,4218.2896
1442,4024.7979
1443,4291.792
1444,3328.7605
1445,2662.028
1446,2520.2424
1447,3716.049
1448,4118.6885
1449,5734.451
1450,2936.3145
1451,4710.462
1452,3459.0056
1453,3922.306
1454,3458.9172
1455,2473.785
1456,4455.8755
1457,2515.4805
1458,3277.2944
1459,3664.866
1460,3600.2195
1461,4391.5225
1462,3266.103
1463,3233.102
1464,3275.0037
1465,3375.2275
1466,4228.017
1467,3766.483
1468,2823.5752
1469,3141.5771
1470,3022.1045
1471,3078.466
1472,2688.7944
1473,3538.63
1474,2837.763
1475,3497.2605
1476,2520.4033
1477,3353.6033
1478,3847.884
1479,5239.2124
1480,2601.4424
1481,4076.2532
1482,3431.714
1483,2702.8455
1484,2616.8386
1485,3756.155
1486,7111.5596
1487,3056.0798
1488,3310.8728
1489,4725.0464
1490,4814.6655
1491,3115.466
1492,4503.3228
1493,5055.366
1494,4298.7847
1495,3310.9626
1496,2583.7427
1497,3063.7515
1498,2927.0842
1499,3990.6843
1500,3869.203
1501,3095.3242
1502,3706.8845
1503,2758.9673
1504,4144.4673
1505,4182.3926
1506,2955.5515
1507,3180.4658
1508,2748.2263
1509,3074.737
1510,2846.676
1511,4190.0493
1512,5183.5566
1513,2946.5913
1514,3040.1328
1515,3276.005
1516,3582.8513
1517,3336.208
1518,3455.8203
1519,3223.4285
1520,4030.9412
1521,4792.624
1522,2877.1357
1523,3232.7878
1524,3519.9236
1525,3727.8218
1526,3104.9724
1527,3567.7664
1528,3440.6416
1529,2709.163
1530,2577.1785
1531,3489.8547
1532,4965.6436
1533,3642.3235
1534,3186.3271
1535,2809.0037
1536,2743.234
1537,5072.497
1538,2493.3743
1539,5665.935
1540,2826.4924
1541,3621.1025
1542,3480.2773
1543,3039.3025
1544,4021.7476
1545,3277.1523
1546,2357.6997
1547,3182.0208
1548,3408.4712
1549,3036.2864
1550,4692.4087
1551,2887.825
1552,4373.997
1553,4412.171
1554,4698.219
1555,4798.686
1556,3837.0112
1557,3164.5425
1558,3656.6934
1559,2927.381
1560,3780.4397
1561,3545.1763
1562,4237.5474
1563,4989.714
1564,2616.7854
1565,3192.7932
1566,4189.6655
1567,2718.866
1568,3035.0083
1569,3176.379
1570,4263.898
1571,3633.3215
1572,3217.7239
1573,3290.9434
1574,3008.213
1575,3420.712
1576,3864.5723
1577,2906.303
1578,5331.5894
1579,3871.571
1580,3629.4653
1581,3286.5479
1582,2735.7424
1583,3916.6692
1584,2715.9949
1585,3659.1057
1586,4163.578
1587,2260.201
1588,2429.8274
1589,3647.1335
1590,2858.7605
1591,3420.1975
1592,3745.8804
1593,2430.1929
1594,3515.738
1595,3236.8096
1596,3584.8953
1597,2853.5698
1598,2999.5327
1599,3221.7317
1600,3274.4004
1601,2691.909
1602,2649.5664
1603,3078.7043
1604,3902.0667
1605,2658.4338
1606,3717.1565
1607,2988.4143
1608,3754.1646
1609,3019.0793
1610,2899.4731
1611,4502.8364
1612,4255.141
1613,3907.1252
1614,5209.0728
1615,3815.4683
1616,4581.773
1617,4788.244
1618,2213.6272
1619,4114.5684
1620,4937.435
1621,4666.0977
1622,5119.1484
1623,3296.8862
1624,4023.701
1625,2291.5984
1626,3149.3164
1627,2496.8333
1628,3922.6155
1629,2772.6328
1630,4322.3477
1631,3364.636
1632,2922.3486
1633,2738.9417
1634,4162.121
1635,2978.8323
1636,3349.4553
1637,3157.8906
1638,5218.5327
1639,3107.0205
1640,4831.8135
1641,2412.7095
1642,3507.4539
1643,4321.0933
1644,3547.6633
1645,3554.2666
1646,2962.6943
1647,3361.0251
1648,3485.7332
1649,2044.7318
1650,3756.9333
1651,3603.63
1652,2352.7805
1653,2773.0725
1654,3735.8933
1655,4164.9644
1656,3957.13
1657,3244.542
1658,5508.701
1659,2997.9348
1660,3235.7698
1661,2971.2764
1662,2307.1033
1663,2627.2915
1664,4246.4385
1665,4301.0903
1666,3223.4922
1667,2240.3948
1668,3344.6382
1669,3539.624
1670,4632.212
1671,2999.61
1672,3730.7283
1673,5124.7427
1674,4311.696
1675,3784.4478
1676,2797.7207
1677,3392.0469
1678,4447.3384
1679,4829.8115
1680,3349.0652
1681,2596.6133
1682,5280.699
1683,3079.635
1684,5098.136
1685,3804.234
1686,2579.7283
1687,3533.8228
1688,5578.7773
1689,3386.843
1690,2478.4482
1691,2696.2598
1692,4646.516
1693,3778.6372
1694,2498.0435
1695,3499.513
1696,2951.2083
1697,2842.0667
1698,3642.979
1699,3695.182
1700,3244.1917
1701,2576.1155
1702,4029.7634
1703,3143.4084
1704,2193.8484
1705,3283.2705
1706,3292.329
1707,4654.5923
1708,3766.3022
1709,3258.9421
1710,5683.974
1711,3097.494
1712,5279.2617
1713,4481.304
